nvcc -std=c++14 -O2 -ccbin clang-3.9 -lstdc++ -L/usr/local/cuda/lib64 -L/usr/local/lib -lcudnn -lcublas -lhdf5_cpp -lhdf5_serial -lm -o build/hidden_test build/tensor.o build/exception.o build/array4d.o build/cudnn_context.o build/data_type.o build/linear.o build/kernel.o build/conv1d.o build/catch.o build/hidden_test.o
./build/hidden_test
 0.11,     0,     0, 0.036, 0.0093,  0.16,     0, 0.006,     0, 0.0098,     0, 0.044,     0, 0.00074,     0,     0, 
0.097,     0,     0,     0, 0.053,  0.16,     0,     0,     0,     0, 0.0019, 0.023, 0.025, 0.039,     0,     0, 
 0.11,     0,     0,     0, 0.073,  0.14,     0,     0, 0.024,     0,     0,     0,  0.06,     0,     0,     0, 
 0.12, 0.062, 0.025,     0, 0.038,  0.11, 0.0036,     0, 0.047, 0.033,     0,     0, 0.015,     0,     0,     0, 
0.097, 0.052,  0.02,     0, 0.023,  0.11, 0.0095,     0,     0,  0.06, 0.029,     0,     0, 0.001,     0,     0, 
0.094, 0.039,     0,     0, 0.052,  0.13,     0,     0,     0, 0.018, 0.043, 0.011,     0, 0.028,     0,     0, 
0.086, 0.014,     0,     0, 0.013,  0.12,     0,     0,     0,     0, 0.026, 0.062, 0.029, 0.039,     0,     0, 
0.075,     0, 0.025, 0.032, 0.054,  0.12,     0, 0.005, 0.039,     0,     0, 0.059,     0, 0.036,     0,     0, 
 0.12, 0.025, 0.066, 0.034, 0.049,  0.14,     0, 0.054, 0.023,     0,     0, 0.068, 0.019, 0.082,     0,     0, 
 0.15,     0, 0.017,     0, 0.031,  0.15, 0.0092, 0.023, 0.0059, 0.019, 0.041, 0.078, 0.068,  0.12,     0,     0, 
 0.14,     0,     0, 0.067, 0.049,  0.18,     0,     0,     0, 0.014,  0.05, 0.0053, 0.029, 0.049,     0,     0, 
 0.13, 0.0022, 0.0019, 0.072, 0.099,  0.22, 0.023, 0.0055, 0.041,     0, 0.023,     0, 0.055,     0,     0,     0, 
 0.12,     0,     0, 0.033, 0.094,  0.25, 0.033, 0.037, 0.062,     0, 0.042,     0, 0.074, 0.021,     0,     0, 
 0.11,     0, 0.012,     0,  0.11,  0.29,  0.11, 0.00054, 0.013, 0.0092, 0.015, 0.063,  0.06, 0.019,     0,     0, 
 0.14,     0, 0.031, 0.036,  0.11,  0.32,  0.15, 0.073,     0, 0.048,     0, 0.083,     0, 0.024,     0,     0, 
 0.13, 0.043,  0.03, 0.026,  0.12,  0.37,  0.24,  0.11, 0.076, 0.047,     0, 0.029, 0.0017, 0.045,     0,     0, 
0.013, 0.065, 0.054, 0.0073,  0.16,  0.41,  0.33, 0.082,  0.04, 0.076, 0.0045,     0, 0.071, 0.046,     0,     0, 
  0.1, 0.0096, 0.041, 0.076,  0.14,   0.4,  0.29, 0.044, 0.0056,  0.04, 0.017,     0, 0.067,  0.02,     0,     0, 
 0.14, 0.045, 0.023, 0.081,  0.13,  0.36,   0.2,     0, 0.044, 0.076, 0.014,     0, 0.059, 0.079,     0,     0, 
 0.13, 0.075, 0.005, 0.037,  0.14,  0.33,  0.13, 0.059, 0.043, 0.0058, 0.0076, 0.022, 0.084,   0.1,     0,     0, 
0.047, 0.041, 0.038,  0.08,  0.12,  0.31,   0.1, 0.046,  0.03,     0, 0.007, 0.047, 0.076, 0.068,     0,     0, 
0.053, 0.017, 0.075, 0.069, 0.093,  0.29,  0.11, 0.036,  0.07, 0.019, 0.034,     0, 0.052,  0.06,     0,     0, 
 0.11, 0.025, 0.041, 0.012,  0.13,  0.26, 0.065, 0.074, 0.082, 0.041, 0.035, 0.065, 0.093, 0.097,     0,     0, 
  0.1, 0.073,     0, 0.0028, 0.071,   0.2, 0.041, 0.074, 0.082, 0.021, 0.049, 0.051, 0.043, 0.035,     0,     0, 
0.073, 0.044,     0,     0, 0.094,  0.17, 0.065, 0.079, 0.056,     0,     0, 0.038,  0.07, 0.027,     0,     0, 
 0.11, 0.048,  0.08, 0.059,  0.13,  0.23, 0.082, 0.074, 0.0063, 0.044, 0.024,  0.12,  0.02, 0.031,     0,     0, 
 0.11, 0.048,  0.11, 0.063,  0.12,  0.27,  0.13,   0.1,  0.11, 0.039,  0.12, 0.096, 0.081, 0.081,     0,     0, 
 0.15, 0.076,  0.12, 0.083,  0.14,   0.3,  0.11,  0.12, 0.083, 0.097,  0.11, 0.088, 0.077,  0.11,     0,     0, 
0.037, 0.036,  0.05, 0.074,  0.15,  0.31, 0.091, 0.028, 0.042, 0.066, 0.073, 0.081, 0.075,  0.13,     0,     0, 
 0.15,  0.11, 0.058, 0.077,  0.16,  0.34,  0.11, 0.062, 0.073, 0.051, 0.086, 0.098, 0.056,  0.13,     0,     0, 
  0.1, 0.059, 0.049, 0.043,   0.2,  0.38,  0.18, 0.043, 0.079, 0.041, 0.045, 0.068, 0.017, 0.095,     0,     0, 
 0.12, 0.072, 0.042, 0.079,  0.21,  0.43,  0.27, 0.069, 0.087, 0.051, 0.076, 0.039,  0.08, 0.066,     0,     0, 
 0.17,  0.11, 0.054, 0.062,  0.21,  0.44,   0.3, 0.053, 0.046, 0.017, 0.039, 0.081, 0.086,   0.1,     0,     0, 
 0.15,  0.11, 0.055, 0.075,  0.21,   0.4,   0.2, 0.053, 0.068,     0, 0.083, 0.089,  0.11, 0.069,     0,     0, 
0.073,   0.1, 0.056, 0.056,   0.2,  0.35,  0.13,  0.06, 0.051, 0.019, 0.073, 0.089, 0.095,   0.1,     0,     0, 
0.035, 0.074,  0.05, 0.082,  0.21,  0.36,  0.14,  0.06,  0.06,   0.1,  0.11,  0.11, 0.081,  0.15,     0,     0, 
0.096, 0.092, 0.064, 0.098,  0.23,  0.42,  0.24, 0.098, 0.094, 0.099,  0.11, 0.082,  0.11,  0.11,     0,     0, 
0.037, 0.085,  0.11,  0.13,  0.25,  0.49,  0.36,  0.06, 0.084,  0.11,  0.08, 0.097,  0.14, 0.065,     0,     0, 
0.0029,   0.1, 0.085,  0.12,  0.25,  0.48,  0.33,  0.14, 0.073, 0.082,  0.11,  0.12,  0.11, 0.082,     0,     0, 
0.096,  0.16, 0.046, 0.077,  0.23,  0.43,  0.22,  0.14,  0.08, 0.078, 0.048,  0.12, 0.096,   0.1,     0,     0, 
0.057,  0.13, 0.086, 0.096,   0.2,  0.39,  0.21,  0.13, 0.091,  0.13,  0.12,  0.12,  0.11,  0.12,     0,     0, 
0.087, 0.072,  0.13,   0.1,  0.16,  0.31,  0.15, 0.092,  0.11,  0.11,  0.12,  0.11,   0.1,  0.11,     0,     0, 
  0.1, 0.083,  0.11, 0.099,  0.11,  0.24,  0.13, 0.085, 0.081, 0.092,  0.11, 0.097,  0.11, 0.082,     0,     0, 
 0.13, 0.075,  0.11, 0.091,  0.12,  0.27,  0.15,  0.14, 0.085, 0.074,  0.09, 0.067, 0.028, 0.067,     0,     0, 
 0.11,  0.13,  0.13,  0.11,  0.15,  0.29,  0.17,  0.14,  0.13, 0.084,  0.14,  0.13, 0.098,  0.11,     0,     0, 
 0.12,  0.13,  0.11,  0.14,  0.19,   0.4,  0.25,  0.11,  0.12,  0.12,  0.11,  0.13,   0.1, 0.081,     0,     0, 
 0.14,  0.11, 0.085,  0.13,   0.2,   0.4,  0.23,  0.11,  0.13,  0.12,  0.12, 0.082,  0.11, 0.095,     0,     0, 
 0.11,  0.11,  0.13,  0.12,   0.2,  0.36,  0.17,  0.12,  0.11,  0.12,   0.1,  0.11,  0.11,  0.11,     0,     0, 
  0.1,  0.13, 0.084,  0.11,  0.22,  0.42,  0.24,  0.16,  0.15,  0.12,  0.14, 0.094,  0.11, 0.096,     0,     0, 
 0.12,  0.16, 0.092,  0.13,  0.22,  0.42,  0.26,  0.11, 0.086,  0.11,   0.1,  0.11,  0.09, 0.087,     0,     0, 
 0.11,  0.14,  0.08,  0.11,  0.19,  0.37,  0.19,  0.11,  0.13,  0.13,  0.12,  0.12,   0.1,  0.11,     0,     0, 
0.099,  0.14, 0.094,  0.12,  0.17,  0.32,  0.17,   0.1,   0.1, 0.099,  0.11,  0.11, 0.096,  0.11,     0,     0, 
0.093,  0.11,   0.1,  0.14,  0.14,  0.28,  0.16,  0.13,  0.11,  0.13, 0.072,  0.11,  0.12, 0.098,     0,     0, 
  0.1, 0.087,   0.1, 0.088,  0.14,  0.32,  0.15,  0.12,  0.13,  0.16,  0.11,  0.12, 0.092,  0.12,     0,     0, 
